corona_filter;others_infected;corona_income_1;gender;leftright;country;news_avoid_c;intentional_news_c;misinfo_c;disinfo_c;education_new;age4;dummy_dismis;compliance
3;2;0;1;6;1;1;1;4,5;4;2;41;0;7
3;2;100;1;5;1;2;3;4;5;2;21;1;6,85714292526245
3;2;20;1;5;1;4;1;5;4;3;54;0;6,14285707473755
3;2;50;2;7;1;4;4;4;4;3;45; ;4
3;2;0;2;9;1;4;3;4,5;4,5;3;35; ;6,2857141494751
3;2;60;1;3;1;1;7;7;5;3;23;0;6,85714292526245
3;2;1;2;5;1;1;6;5;5;3;25; ;3,71428561210632
3;2;70;1;9;1;6;5;5;5;3;38; ;5,85714292526245
2;2;0;2;10;1;1;6;6;6;3;41; ;5,85714292526245
2;2;40;1;6;1;4;3;5;6;2;32;1;6,57142877578735
3;1;0;1;6;1;1;7;3;4;1;26;1;6,2857141494751
3;2;0;2;5;1;2;6;4,5;2,5;3;36;0;5
3;2;1;1;3;1;1;7;4;4;3;40; ;6,57142877578735
3;1;0;1;5;1;1;7;3;3,5;2;34;1;7
3;2;0;1;6;1;3;4;6;4;2;43;0;7
2;2;5;1;6;1;7;1;3;3;2;22; ;4,14285707473755
3;2;1;2;6;1;1;7;4,5;3;2;62;0;6,7142858505249
2;1;58;2;8;1;5;3;5;4;3;33;0;5
3;2;31;2;4;1;3;5;5;5;2;19; ;5,42857122421265
3;1;70;1;4;1;1;5;4,5;4;3;48;0;7
3;2;0;1;6;1;1;5;4,5;5;2;43;1;7
3;2;22;1;9;1;1;7;4;4;3;44; ;6,7142858505249
3;2;1;2;6;1;1;5;5,5;6;1;61;1;6,2857141494751
3;2;1;1;3;1;4;3;7;5;3;22;0;6,7142858505249
3;2;0;2;8;1;4;4;4;4;3;34; ;4
3;2;0;1;3;1;1;7;6;3;3;26;0;7
3;2;3;2;4;1;2;3;4,5;3,5;3;57;0;6,57142877578735
2;2;41;1;4;1;3;4;6;5;3;31;0;6,14285707473755
3;2;4;2;6;1;2;6;6;5,5;2;40;0;6,57142877578735
3;2;1;1;11;1;4;5;7;7;2;30; ;6,2857141494751
3;2;40;1;6;1;3;3;4;4;3;36; ;6,85714292526245
3;2;0;2;9;1;3;5;5,5;5;3;56;0;6,2857141494751
3;2;0;2;7;1;1;5;4,5;4;3;61;0;5,42857122421265
3;2;10;1;4;1;1;6;5,5;5,5;3;58; ;7
3;2;30;1;11;1;1;7;4;5;1;36;1;7
3;2;51;1;8;1;1;5;4;3;3;53;0;6,85714292526245
3;2;19;2;8;1;4;3;5,5;4,5;3;65;0;4,7142858505249
3;1;0;2;7;1;2;4;5;4,5;2;53;0;4,14285707473755
3;2;1;1;6;1;2;4;6;5,5;3;22;0;6,2857141494751
3;2;20;2;3;1;1;4;6;3,5;3;53;0;6,85714292526245
4;2;1;2;8;1;4;3;4;4;1;62; ;4,85714292526245
3;2;29;1;8;1;1;3;5;5;2;63; ;7
3;2;1;2;8;1;1;7;6,5;4;3;59;0;7
3;2;0;1;6;1;2;3;4,5;4;1;56;0;2,71428561210632
3;1;0;1;6;1;1;6;5,5;5;3;65;0;7
3;2;9;1;4;1;1;3;6;3,5;1;64;0;6,14285707473755
3;2;0;1;6;1;7;1;7;7;1;27; ;6,85714292526245
3;2;2;1;9;1;1;1;4,5;4,5;2;62; ;4,85714292526245
3;2;0;1;6;1;3;2;5;4,5;3;29;0;6,42857122421265
3;2;50;1;6;1;2;4;5,5;5;3;20;0;6,42857122421265
2;1;32;2;8;1;1;5;6,5;5;3;31;0;5,14285707473755
3;2;1;1;5;1;1;7;4;2;3;61;0;6,42857122421265
3;2;10;2;11;1;2;5;2;2,5;2;21;1;5,85714292526245
3;1;0;2;4;1;3;4;4;4;2;65; ;4
3;2;0;2;7;1;1;3;3,5;4;2;62;1;6,85714292526245
